	review
863	@Mrsdaughtry Happy Mothers Day!
864	@souljaboytellem Good night
865	Yea baby!! Im gonna miss you so much
866	@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
867	@Orcon DMed you.
868	The Paper Route album is &quot;Absence,&quot; not &quot;Absence While Working on Cabinets.&quot;
869	Just had mothers day lunch here  http://twitpic.com/4wfeo
870	@kkindlen and @MandaBown thanks  hoping its just allergies and not a nasty flu!
871	Happy Mother's Day to everyone's mothers, mothers-to-be, grandmothers, great grandmothers...All the WOMEN! I salute you all
872	half my class just called me retarded it hurt for real
873	unplugging for the rest of the day.  Have a good one everybody!!
874	@lmpotter You're very welcome
875	@stellarciarra wasnt it sad?  was the 3d good?
876	I'm a new french girl in Twitter! And I speak English very bad
877	@sera_bishop  sez need to get u to look at my flights again  will email ur work tonite
878	@angusmaclean yeah I've been there, my son is two so we go to only the kid friendly places now;) congrats on the baby!
879	Is getting more and more excited about thorpe park tomorrow
880	Ouvindo &quot;The Wonders - All my only dreams&quot;, a melhor banda do mundo que nunca existiu. Pra comeï¿½ar bem o dia.
881	home from school now. watching that '70 show
882	@rookiepaul that doesnt sound like a good situation
883	@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
884	@BarryManilow Not been on for a while eh Barry lol.Tweet deck is like prehistoric lol
885	@thesehazeleyz  if you need to talk or vent let me know
886	I just had a horrible dream.
887	@zwriter Your missing qualifying  I think David Reutimann is leading with a 22.96 ....
888	@PodRED road trip ftw  am playing with trains today so it's all good here
889	@maryjanewatson I'm trying my dang hardest to not watch the movie again until I finish the book, again.
890	working from home and ran out of coffee!
891	Found out that one great thing about living in Switzerland is the delicious bread - sometimes little things can make a difference
892	was gonna go to my brothers show but still feeling like poo :**(
893	@joshroyse Josh  Excuse me, but, at what time is it going to begin?
894	@SarahInMI sounds like a great way to to start mothers day! Enjoy your day
895	And why do they think &quot;how much they want it&quot; is a factor? I really want to be 19 and fit again, but that's just not going to happen
896	@jtimberlake Good luck whit the show tonite man, ill be watching
897	ajab chizi shode in blog-am :x che axayi ke migiram man
898	@butterflydi i'll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all
899	cramps r eew  shall hug a soft toy to my tummy n zzz the pain away
900	I'm siiiiiickkk  I dun feel good!!
901	@shantl Thank you!
902	@die_lavish i told diamond to follow you. and why u aitn share the starburst
903	@da_gurl_cece what up?
904	@destroytoday hahah I'll try
905	Happy Mother's day!  miss my mom so much... Always will be the best mom ever!
906	@JohnHLynn Now it let me upload a pic, but I don't have one of myself in the PC
907	@sweet19 awesome. lemme see when you're done.
908	mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!
909	I'm seeing quite a few proto-furries here, now that I think of it.  #acen
910	@jasonrockz352 aw man im sorry! I have logical reasoning I promise! I had to study in order to tutor my new student! 4give me
911	grrrr youtube wont let me watch the @Jonasbrothers chat again
912	@mzunyque thanks. before the major chop.
913	just tried talking........voice died before end of sentence! Annpyimg thing id, i feel fine!! Another day of not playing the hits
914	Post-crash Spotlight is now spinning its wheels indexing my Time Machine backup drive. Naturally the drive is in the &quot;do not index&quot; list
915	Good morning! I'm just woke up it's Mother's Day
916	Blogging-- http://13tolife.us/ Mentioning links to contests where you might just win a free book or two!
917	@PoisonIvy69 Fine thanks, not long now till Christmas....I'm excited
918	@SassySpider follow me too
919	@Metal0520 I haven't talked to you since the last day of school!  that's no right.
920	I have test tomorrow but i dont study, then i go very bad
921	House hunting for next year= No FUN!
922	crashing from my WI high...missing mayfield
923	@judyrey Thank you, Judy! Same back at you!
924	took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.
925	@Skiingfreak77 and by the way it's short stack, not sway sway  sway sway baby is a song of theirs
926	@RSC_Girl123 Tom Petty and the Heartbreakers have my eternal love. Benjamin.  ????????????????????????????????????????????????????????????
927	Choked on her retainers
928	i need to see @betsycon7...now! someone buy me a plane ticket, please?
929	@RobbieBarnes weaned myself off it
930	@dudboi Well there's nothing to do but to keep swimming. You'll get there eventually
931	@happylovesChuck I know. But the second problem being: he doesn't REALLY exist still applies. Shame
932	I wish i had a smartphone with an irc app. That'd be pretty cool.
933	@cwbtoad Thanks bro.
934	Just got home from school LOL 2 1/2 weeks left yay!!! Then off 2 summer school
935	@zhayrar Aw you are and you're welcome
936	My flip flop just broke...walking in downtown seattle
937	@zampeachie PANGE???!!!!! AHAHAHAHAHA. You two could meet up for drinks.
938	Not looking forward to this long trip in the morning. I'm sick
939	@miligosa how fun!! I like the beach, but I tend to get really dark fast.
940	must... stop... using... LOL, so much... crap I did it again
941	@drumzonly yay. das tut trotzdem weh.
942	I'm missing one of my diamond earrings. This makes me sad.
